Sample 10 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\10\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 60

Equivalent diameter statistics (µm):
count     60.000000
mean      56.536368
std       27.501054
min       11.946345
25%       34.632630
50%       55.092475
75%       74.139705
max      111.922944
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
   Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1      10  25730.0  5756.547170               85.612286     126.835152      62.326514      2.035011   0.367036  0.810113
2      10  31567.0  7062.453343               94.827184     111.858502      87.108064      1.284135   0.306880  0.840935
3      10  43975.0  9838.482775              111.922944     133.938506     129.420600      1.034909   0.074875  0.620065
4      10  36456.0  8156.264424              101.906224     148.355734      85.191863      1.741431   0.131832  0.714978
5      10  12517.0  2800.415893               59.712647      93.416045      44.333938      2.107100   0.221388  0.724112
6      10  37599.0  8411.986671              103.491420     176.638226     118.908521      1.485497   0.046387  0.439549
7      10  40808.0  9129.933032              107.817400     207.093575     100.528318      2.060052   0.048651  0.445152
8      10   6525.0  1459.831725               43.112823      63.813780      36.900022      1.729370   0.304190  0.740552
9      10  13412.0  3000.653348               61.810602      91.415196      58.890351      1.552295   0.168607  0.631183
10     10  38989.0  8722.969981              105.387050     232.390488      86.989057      2.671491   0.037606  0.541589
11     10   1635.0   365.796915               21.581175      51.508814       9.460510      5.444613   0.408442  0.976703
12     10  16237.0  3632.687773               68.009424     105.247874      51.337919      2.050100   0.181792  0.743759
13     10   2878.0   643.892062               28.632653      40.749373      22.428768      1.816835   0.626270  0.947022
14     10   6542.0  1463.635118               43.168948      48.344731      43.734330      1.105418   0.427801  0.795187
15     10  14632.0  3273.602728               64.560673      81.878864      71.193763      1.150085   0.134081  0.610124
16     10   9876.0  2209.547604               53.040394      90.293392      38.549711      2.342259   0.225453  0.686787
17     10  40977.0  9167.743233              108.040424     231.550981     125.228293      1.849031   0.034247  0.391854
18     10   2166.0   484.597014               24.839647      52.313216      13.406429      3.902099   0.427508  0.840839
19     10  35086.0  7849.755694               99.973093     160.201771      96.148489      1.666191   0.048131  0.530000
20     10  26253.0  5873.557437               86.478006     176.983273      69.115426      2.560691   0.054505  0.535066
21     10   7833.0  1752.469257               47.236778      74.741004      35.898772      2.081993   0.231278  0.720673
22     10    544.0   121.708576               12.448461      37.024806       4.339320      8.532397   0.298971  0.947735
23     10   3287.0   735.397223               30.599621      55.235944      20.958984      2.635430   0.425356  0.748577
24     10   3994.0   893.573626               33.730302      59.029242      22.611150      2.610625   0.489066  0.770299
25     10    501.0   112.088229               11.946345      42.324604       3.510946     12.055041   0.228650  0.957935
26     10  27481.0  6148.296649               88.477423     236.065261     105.093348      2.246244   0.049409  0.351150
27     10  11044.0  2470.863076               56.089220     103.661011      45.949123      2.255995   0.171549  0.573208
28     10  10806.0  2417.615574               55.481562      94.102643      54.654086      1.721786   0.093330  0.586454
29     10   3141.0   702.732789               29.912325      42.647280      23.671107      1.801660   0.615288  0.881313
30     10   4284.0   958.455036               34.933406      44.372838      30.052673      1.476502   0.474252  0.852029
31     10    709.0   158.623861               14.211480      38.738105       5.458392      7.096981   0.338746  0.939073
32     10  14421.0  3226.395909               64.093485     112.231782      58.095155      1.931861   0.117141  0.529950
33     10  11785.0  2636.646265               57.940334      91.990212      52.084083      1.766187   0.172136  0.691567
34     10  10505.0  2350.273145               54.703388      83.619674      47.560998      1.758156   0.205360  0.637130
35     10  21166.0  4735.448014               77.648952     119.395083     104.191282      1.145922   0.046360  0.513177
36     10   9549.0  2136.388221               52.154904      72.844771      45.586174      1.597958   0.279152  0.739831
37     10   8458.0  1892.299882               49.085141      87.816368      39.085476      2.246778   0.218021  0.601565
38     10   4666.0  1043.919514               36.457641      78.655025      28.484824      2.761296   0.124593  0.569928
39     10  15106.0  3379.650274               65.598052     152.992089      48.742788      3.138764   0.101316  0.545993
40     10   4802.0  1074.346658               36.985141      57.905446      26.806283      2.160145   0.496485  0.820714
41     10   1074.0   240.284946               17.491149      36.721413       9.668326      3.798115   0.455573  0.813020
42     10   5931.0  1326.936699               41.103629      63.172257      29.922662      2.111184   0.393433  0.818747
43     10   1662.0   371.837598               21.758638      23.051313      21.748149      1.059921   0.743169  0.927973
44     10  18692.0  4181.942468               72.969956     128.067305      65.788779      1.946644   0.085513  0.581943
46     10  26488.0  5926.133752               86.864192     128.081893     113.875110      1.124758   0.056653  0.525837
47     10  26918.0  6022.337222               87.566420     215.382903      88.782166      2.425970   0.055875  0.407410
48     10   2433.0   544.332657               26.326144      31.317466      23.674449      1.322838   0.635512  0.882481
49     10  13008.0  2910.266832               60.872546      88.431036      53.104469      1.665228   0.135354  0.713002
50     10  15456.0  3457.955424               66.353640     131.153679      55.886954      2.346767   0.134084  0.546052
51     10   4910.0  1098.509390               37.398738      49.854033      36.328750      1.372302   0.421649  0.755617
52     10   3694.0   826.454926               32.438790      55.467107      21.712371      2.554631   0.303854  0.788979
53     10  11555.0  2585.188595               57.372157      88.994951      50.344596      1.767716   0.163984  0.702304
54     10  14209.0  3178.965361               63.620629     104.094245      68.632114      1.516699   0.097064  0.523525
55     10   5340.0  1194.712860               39.001996      57.692985      29.351397      1.965596   0.380096  0.804702
56     10   2438.0   545.451302               26.353181      53.858308      18.303211      2.942561   0.249276  0.717059
57     10   7346.0  1643.513234               45.744793      79.598414      53.497359      1.487894   0.122806  0.502600
58     10   2412.0   539.634348               26.212283      39.775747      20.073334      1.981522   0.490491  0.892012
59     10   8844.0  1978.659276               50.192701      84.675233      37.750265      2.243037   0.203647  0.703132
