Sample 11 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\11\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 71

Equivalent diameter statistics (µm):
count     71.000000
mean      47.624555
std       20.021233
min       15.615399
25%       33.614134
50%       42.814460
75%       61.514714
max      119.354909
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
   Sample  area_px      area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1      11  14859.0   3324.389211               65.059540      89.003242      54.860736      1.622349   0.344283  0.857761
2      11  14373.0   3215.656917               63.986729      88.072044      52.413230      1.680340   0.236557  0.767706
3      11  30548.0   6834.473492               93.284093     112.327581      88.592108      1.267919   0.187112  0.745273
4      11   6160.0   1378.170640               41.889633      70.003020      27.878804      2.510976   0.547932  0.875249
5      11  50009.0  11188.463561              119.354909     193.113854     104.407908      1.849609   0.040331  0.603201
6      11  16330.0   3653.494570               68.203913     139.818453      48.618079      2.875853   0.072061  0.574191
7      11  25092.0   5613.808068               84.544204     144.977792      65.042988      2.228953   0.076397  0.647168
8      11  12364.0   2766.185356               59.346580      93.048188      40.294793      2.309186   0.334414  0.819188
9      11   7010.0   1568.340290               44.686384      52.317938      45.512558      1.149528   0.306818  0.783240
10     11  20549.0   4597.407221               76.508827     106.936575      68.739821      1.555671   0.149725  0.745042
11     11   5499.0   1230.285771               39.578384      44.728130      37.757502      1.184616   0.588493  0.843146
12     11  35267.0   7890.250643              100.230630     229.439172      83.100639      2.760980   0.022764  0.475111
13     11   6707.0   1500.550403               43.709954      81.775908      26.154532      3.126644   0.292058  0.801506
14     11   6963.0   1557.825027               44.536327      63.603701      44.768809      1.420715   0.208641  0.637404
15     11  14778.0   3306.267162               64.881971     118.842480      62.395838      1.904654   0.070308  0.578599
16     11  17673.0   3953.962617               70.953094     155.802370      59.634629      2.612616   0.088153  0.538384
17     11  14644.0   3276.287476               64.587141     114.521161      67.528182      1.695902   0.071271  0.503507
18     11   6291.0   1407.479139               42.332707      57.360104      35.369180      1.621754   0.264548  0.779844
19     11  16355.0   3659.087795               68.256101     136.201333      51.387520      2.650475   0.054265  0.590881
20     11   8455.0   1891.628695               49.076435      72.043053      41.012393      1.756617   0.162788  0.645026
21     11  17488.0   3912.572752               70.580751     119.002152      72.607278      1.638984   0.064599  0.555192
22     11   2692.0    602.278468               27.691962      36.414368      25.784868      1.412238   0.359785  0.791998
23     11   4612.0   1031.838148               36.246064      49.729995      32.958454      1.508869   0.315767  0.734161
24     11  10481.0   2344.903649               54.640864      85.973339      46.414994      1.852275   0.099920  0.671042
25     11   4756.0   1064.055124               36.807568      80.156234      19.859617      4.036142   0.232994  0.699103
26     11   7398.0   1655.147142               45.906413      63.723640      42.590203      1.496204   0.208755  0.705983
27     11  13577.0   3037.568633               62.189649     127.166000      50.454069      2.520431   0.098925  0.565850
28     11   4470.0   1000.068630               35.683707      61.357490      28.435604      2.157770   0.194639  0.628604
29     11  10044.0   2247.134076               53.489625     109.002359      38.612767      2.822962   0.123825  0.572373
30     11   3792.0    848.380368               32.866266      41.422567      30.834596      1.343380   0.368114  0.805096
31     11   5671.0   1268.767159               40.192593      67.273585      39.245436      1.714176   0.116995  0.573988
32     11  16105.0   3603.155545               67.732416     143.104701      61.636713      2.321745   0.064325  0.442263
33     11   2524.0    564.691996               26.813955      35.860327      21.152077      1.695357   0.633123  0.902718
34     11  19174.0   4289.779846               73.904786     155.674041      54.444223      2.859331   0.054902  0.548455
35     11   2248.0    502.942792               25.305467      27.411265      26.416125      1.037672   0.469938  0.862956
36     11   7465.0   1670.136985               46.113821      88.911615      40.024169      2.221448   0.137535  0.606812
37     11   1122.0    251.023938               17.877740      31.200298      11.159949      2.795739   0.509190  0.882769
38     11   6435.0   1439.696115               42.814460      75.439738      38.455070      1.961763   0.204137  0.638393
39     11   3463.0    774.773527               31.408156      49.703775      31.949883      1.555679   0.166350  0.640703
40     11   4703.0   1052.197487               36.601905      52.524627      36.032558      1.457699   0.210213  0.725548
41     11   1905.0    426.203745               23.295052      38.837217      15.672670      2.478022   0.418963  0.763527
42     11   2848.0    637.180192               28.483030      57.753036      15.108511      3.822550   0.390870  0.812553
43     11  12994.0   2907.134626               60.839779     107.722879      63.013246      1.709528   0.069804  0.519262
44     11   5472.0   1224.245088               39.481100      53.983860      37.732706      1.430691   0.291181  0.742671
45     11   9465.0   2117.594985               51.925000     117.473510      32.673089      3.595421   0.180380  0.599962
46     11   3186.0    712.800594               30.125834      40.824962      28.878070      1.413701   0.210838  0.726237
47     11    856.0    191.512024               15.615399      28.196324      10.531251      2.677396   0.387508  0.773261
48     11   3606.0    806.766774               32.050076      46.871765      29.723482      1.576927   0.229024  0.674902
49     11  12936.0   2894.158344               60.703845      79.857928      68.987816      1.157566   0.122451  0.629520
50     11   2895.0    647.695455               28.717094      39.840163      23.084419      1.725846   0.388293  0.833333
51     11   5477.0   1225.363733               39.499134      59.091450      29.828540      1.981037   0.332303  0.854446
52     11   5363.0   1199.858627               39.085898      53.257181      34.773564      1.531542   0.261696  0.694959
