Sample 12 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\12\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 106

Equivalent diameter statistics (µm):
count    106.000000
mean      44.605744
std       17.213746
min       17.733756
25%       31.370139
50%       41.955883
75%       53.579918
max      102.744170
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1       12  15209.0  3402.694361               65.821311      98.683634      48.223827      2.046367   0.385959  0.837961
2       12  11091.0  2481.378339               56.208443      74.619666      59.344278      1.257403   0.330043  0.725566
3       12  20814.0  4656.695406               77.000576      92.007147      68.841070      1.336515   0.335711  0.835937
4       12  12291.0  2749.853139               59.171123      85.307356      46.185738      1.847050   0.273656  0.728485
5       12  26932.0  6025.469428               87.589189     121.206736      83.809123      1.446224   0.080731  0.603667
6       12  30006.0  6713.212374               92.452839     142.640043     101.181199      1.409748   0.060547  0.554168
7       12  37058.0  8290.949282              102.744170     276.600481      63.941142      4.325861   0.032331  0.515841
8       12  16661.0  3727.548869               68.891673     114.071066      60.982967      1.870540   0.106274  0.672140
9       12   8458.0  1892.299882               49.085141      52.850330      48.483885      1.090060   0.443968  0.842934
10      12  13596.0  3041.819484               62.233149      84.599913      63.900780      1.323926   0.115489  0.632490
11      12  16872.0  3774.755688               69.326533     112.604556      64.804918      1.737593   0.099404  0.573215
12      12   4497.0  1006.109313               35.791314      44.849423      31.098107      1.442191   0.400473  0.834942
13      12  23112.0  5170.824648               81.139993     130.957895      74.046919      1.768580   0.062454  0.617852
14      12   2078.0   464.908862               24.329824      32.952172      20.513997      1.606326   0.434274  0.799538
15      12  11165.0  2497.934285               56.395644     129.856145      52.428082      2.476843   0.122183  0.531414
16      12   6061.0  1356.021469               41.551656      52.638178      42.245260      1.246014   0.290886  0.772299
17      12   6718.0  1503.011422               43.745784      55.147778      44.573392      1.237235   0.237823  0.712181
18      12   3032.0   678.346328               29.388729      73.033603      19.042301      3.835335   0.261985  0.615135
19      12   2607.0   583.261503               27.251268      46.625969      17.194857      2.711623   0.548875  0.867554
20      12   9362.0  2094.550898               51.641699      73.787135      49.320709      1.496068   0.153141  0.607725
21      12  11063.0  2475.113927               56.137447      78.916276      54.370973      1.451441   0.163206  0.658473
