Sample 1 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\1\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 98

Equivalent diameter statistics (µm):
count     98.000000
mean      43.798849
std       19.126936
min       12.368110
25%       28.998378
50%       41.471025
75%       56.386128
max      101.278136
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1        1  36008.0  8056.033832              101.278136     164.907328      76.917475      2.143951   0.075729  0.672820
2        1  19818.0  4433.861322               75.135661      93.427347      74.337682      1.256797   0.169890  0.768080
3        1  14914.0  3336.694306               65.179837      86.415636      52.271075      1.653221   0.367330  0.835846
4        1  31023.0  6940.744767               94.006546     126.281358     115.609126      1.092313   0.057249  0.526081
5        1  28197.0  6308.486613               89.622623     128.928054      98.394125      1.310323   0.053305  0.615601
6        1  11932.0  2669.534428               58.300573      77.717853      49.198770      1.579671   0.293073  0.783402
7        1  17835.0  3990.206715               71.277549     113.050338      65.094848      1.736702   0.078486  0.610913
8        1   7303.0  1633.892887               45.610712      91.426220      39.945244      2.288789   0.098007  0.547862
9        1   5272.0  1179.499288               38.752873      58.721586      29.225436      2.009263   0.529242  0.823621
10       1   6573.0  1470.570717               43.271108      53.704816      37.191984      1.443989   0.479593  0.861807
11       1  19181.0  4291.345949               73.918275     127.950571      55.059262      2.323870   0.137745  0.689642
12       1   3377.0   755.532833               31.015710      78.209077      16.472402      4.747886   0.173698  0.628396
13       1    873.0   195.315417               15.769696      59.541092       4.367145     13.633870   0.202548  0.937701
14       1    786.0   175.850994               14.963303      47.692088       4.872968      9.787072   0.258544  0.953883
15       1    851.0   190.393379               15.569726      46.205810       5.460598      8.461676   0.294926  0.955107
16       1   9033.0  2020.944057               50.726185      76.541296      44.488567      1.720471   0.207427  0.625078
