Sample 4 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\4\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 133

Equivalent diameter statistics (µm):
count    133.000000
mean      38.842631
std       14.259471
min       12.539659
25%       29.272183
50%       37.307224
75%       46.397108
max       88.237238
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1        4  27332.0  6114.961028               88.237238     106.061825      83.588605      1.268855   0.175429  0.725853
2        4  14276.0  3193.955204               63.770448     112.480912      51.260378      2.194305   0.113852  0.594091
3        4  15510.0  3470.036790               66.469452      88.604655      60.270219      1.470123   0.154730  0.700700
4        4   2923.0   653.959867               28.855633      68.398774      16.113584      4.244790   0.272535  0.677247
5        4  14310.0  3201.561990               63.846342      80.258787      61.044662      1.314755   0.197950  0.717473
6        4   1011.0   226.190019               16.970388      47.125342       6.727350      7.005038   0.293418  0.839004
7        4   3945.0   882.610905               33.522755      56.048280      22.705569      2.468482   0.470933  0.782583
8        4   8337.0  1865.228673               48.732770      74.940070      37.328557      2.007580   0.259841  0.773161
9        4    714.0   159.742506               14.261503      43.351061       4.866520      8.908021   0.278608  0.954545
10       4   6811.0  1523.818219               44.047538      68.636203      34.795477      1.972561   0.204475  0.663775
11       4   7053.0  1577.960637               44.823229      80.111822      34.948552      2.292279   0.208414  0.716259
12       4   2973.0   665.146317               29.101385      51.165758      19.302522      2.650729   0.513534  0.866259
13       4   6633.0  1483.994457               43.468154      88.869698      36.751867      2.418100   0.172149  0.577134
14       4   4886.0  1093.139894               37.307224      48.948199      33.272319      1.471139   0.250851  0.740415
15       4   3024.0   676.556496               29.349932      45.805552      20.051976      2.284341   0.567651  0.915254
16       4  12777.0  2858.585433               60.329628      75.852578      63.560037      1.193400   0.144109  0.653522
17       4  10646.0  2381.818934               55.069284      94.801286      45.014699      2.106007   0.099193  0.643613
18       4  13761.0  3078.734769               62.609639      85.012370      57.365410      1.481945   0.144695  0.704104
19       4   6845.0  1531.425005               44.157342      70.596728      31.445742      2.245033   0.299849  0.744426
20       4   4853.0  1085.756837               37.181024      49.302706      29.882040      1.649911   0.541456  0.912390
21       4    691.0   154.596739               14.029921      40.139357       5.142283      7.805746   0.313661  0.963738
22       4  13380.0  2993.494020               61.736820      77.528830      58.920374      1.315824   0.144900  0.682827
23       4   1536.0   343.647744               20.917598      48.005200      11.319672      4.240865   0.318265  0.763040
24       4   3207.0   717.498903               30.224956      41.898258      22.751826      1.841534   0.613936  0.923675
25       4   7345.0  1643.289505               45.741679      72.885923      44.150640      1.650846   0.115486  0.606123
26       4   7953.0  1779.316737               47.597231      70.928511      41.026304      1.728855   0.217507  0.641268
27       4   3381.0   756.427749               31.034074      49.255347      23.434334      2.101845   0.524204  0.803470
28       4   6296.0  1408.597784               42.349527      56.759709      34.782264      1.631858   0.394803  0.830826
29       4   2644.0   591.539476               27.443969      33.614243      23.185681      1.449785   0.697797  0.935929
30       4   3639.0   814.149831               32.196394      49.566534      23.692815      2.092049   0.366289  0.807948
31       4   4719.0  1055.777151               36.664114      66.921593      27.924112      2.396552   0.157124  0.592690
32       4   6192.0  1385.329968               41.998296      63.593871      34.592844      1.838353   0.298338  0.738814
33       4   5406.0  1209.478974               39.242279      59.183031      31.344595      1.888142   0.301780  0.743093
34       4  13264.0  2967.541456               61.468619     127.508029      50.687191      2.515587   0.112072  0.523483
35       4   8722.0  1951.364338               49.845303      99.076242      34.421601      2.878316   0.155376  0.662162
36       4   4631.0  1036.088999               36.320648      37.831487      35.624382      1.061955   0.771568  0.946648
37       4   8166.0  1826.971014               48.230403      89.037411      47.956754      1.856619   0.096155  0.473419
38       4  12028.0  2691.012412               58.534634      82.891125      63.920613      1.296782   0.068194  0.579495
39       4   8168.0  1827.418472               48.236309      62.293476      43.436976      1.434112   0.199547  0.712864
40       4   6131.0  1371.682499               41.790913      84.618446      33.804877      2.503143   0.121463  0.574333
41       4  11267.0  2520.754643               56.652665      89.214586      73.948161      1.206448   0.062246  0.486506
42       4   5423.0  1213.282367               39.303932      48.740357      37.738834      1.291517   0.419217  0.805316
43       4    656.0   146.766224               13.669988      37.607509       5.148266      7.304889   0.352288  0.976190
44       4   8630.0  1930.781270               49.581721      88.480970      40.004789      2.211759   0.148226  0.596819
45       4   4430.0   991.119470               35.523689      67.036220      32.359158      2.071631   0.260024  0.623680
46       4   7177.0  1605.703033               45.215535      84.050917      38.133581      2.204118   0.185525  0.604583
47       4   6343.0  1419.113047               42.507303      68.347647      32.509142      2.102413   0.188071  0.655878
48       4   2932.0   655.973428               28.900023      39.462942      22.473177      1.756002   0.559609  0.875224
49       4   4721.0  1056.224609               36.671882      78.932068      26.408297      2.988912   0.187930  0.504920
50       4  16423.0  3674.301367               68.397849     120.079198      63.775172      1.882852   0.067023  0.585365
51       4    562.0   125.735698               12.652733      35.983866       4.622537      7.784442   0.330670  0.963979
52       4   3259.0   729.132811               30.469013      47.259140      24.022084      1.967321   0.395710  0.780038
53       4   5242.0  1172.787418               38.642455      53.959640      36.307276      1.486194   0.240486  0.716610
55       4   4124.0   922.658396               34.274847      44.881072      29.834971      1.504311   0.363433  0.844563
56       4  15692.0  3510.755468               66.858303      97.402616      70.506356      1.381473   0.079356  0.607887
57       4   8188.0  1831.893052               48.295328     107.285628      30.381884      3.531237   0.138596  0.556780
58       4   3847.0   860.685463               33.103758      49.742961      29.272060      1.699332   0.308173  0.698058
59       4   5915.0  1323.357035               41.048149      48.905964      37.356683      1.309162   0.428571  0.841035
60       4   1579.0   353.268091               21.208369      23.843410      20.160998      1.182650   0.677025  0.913245
61       4   2075.0   464.237675               24.312255      31.226357      20.406965      1.530181   0.562106  0.880730
62       4   9459.0  2116.252611               51.908540      82.871563      50.788412      1.631702   0.149160  0.650416
63       4   4742.0  1060.922918               36.753354      63.331097      31.945812      1.982454   0.181541  0.637623
64       4  13599.0  3042.490671               62.240015     136.581558      59.052117      2.312899   0.055382  0.450417
