Sample 6 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\6\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 329

Equivalent diameter statistics (µm):
count    329.000000
mean      24.727329
std        8.667418
min       11.993940
25%       18.672691
50%       22.919052
75%       28.702210
max       59.024107
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1        6   9201.0  2058.530529               51.195727      58.956575      51.284295      1.149603   0.227656  0.726720
2        6   6275.0  1403.899475               42.278840      45.977620      42.191247      1.089743   0.658648  0.916594
3        6  11433.0  2557.893657               57.068480      75.841972      51.362337      1.476607   0.240964  0.753361
4        6   3713.0   830.705777               32.522107      40.219685      31.005286      1.297188   0.462551  0.881111
5        6   9718.0  2174.198422               52.614403      76.126351      38.933896      1.955272   0.332671  0.836317
6        6  10196.0  2281.140884               53.892845      75.248249      43.395901      1.733994   0.284410  0.803911
7        6  12230.0  2736.205670               59.024107      74.839395      54.173882      1.381466   0.200398  0.722045
8        6  10788.0  2413.588452               55.435334      64.694202      53.448093      1.210412   0.312304  0.778805
9        6   5653.0  1264.740037               40.128756      45.794608      36.398319      1.258152   0.600340  0.921134
10       6   2828.0   632.705612               28.382844      35.963683      24.345155      1.477242   0.648422  0.903514
11       6   6768.0  1514.197872               43.908275      50.308446      42.086626      1.195355   0.356196  0.818182
12       6   5912.0  1322.685848               41.037738      45.842906      38.807545      1.181288   0.399109  0.825353
13       6   6415.0  1435.221535               42.747875      52.520245      38.834346      1.352417   0.328509  0.833117
14       6   1735.0   388.169815               22.231355      37.328264      14.172285      2.633892   0.498760  0.851325
15       6   8516.0  1905.276164               49.253152     106.361142      36.583588      2.907346   0.099237  0.580069
16       6   3800.0   850.170200               32.900917      40.120997      28.144057      1.425558   0.712210  0.946215
17       6   6965.0  1558.272485               44.542723      57.651696      42.790130      1.347313   0.397425  0.761618
18       6   7676.0  1717.343804               46.760988      61.721800      38.767733      1.592092   0.353868  0.814689
19       6   7613.0  1703.248877               46.568700      64.172214      44.713964      1.435172   0.235132  0.636965
20       6   2774.0   620.624246               28.110556      35.262762      24.140097      1.460755   0.693485  0.946112
21       6   7168.0  1603.689472               45.187176      57.520077      53.892095      1.067319   0.212571  0.585764
22       6   4016.0   898.495664               33.823072      42.308375      29.110331      1.453380   0.488109  0.844230
23       6   7747.0  1733.228563               46.976751      69.419468      38.445956      1.805638   0.162850  0.700072
24       6   3795.0   849.051555               32.879264      41.647658      29.878065      1.393921   0.442330  0.834800
25       6   4745.0  1061.594105               36.764978      44.364845      32.653336      1.358662   0.490623  0.843556
26       6   2413.0   539.858077               26.217716      31.635580      24.793295      1.275973   0.550510  0.915750
27       6   2754.0   616.149666               28.009036      32.145605      27.717885      1.159742   0.438489  0.843492
28       6   3851.0   861.580379               33.120963      35.193602      32.258265      1.090995   0.619188  0.885084
29       6   1597.0   357.295213               21.328910      40.701504      12.636015      3.221071   0.418228  0.743136
30       6   4680.0  1047.051720               36.512295      42.885743      32.937828      1.302021   0.434769  0.834076
31       6   3259.0   729.132811               30.469013      44.111844      22.624567      1.949732   0.556736  0.848477
32       6   4183.0   935.858407               34.519153      43.423662      29.817407      1.456319   0.433220  0.807373
33       6   6719.0  1503.235151               43.749039      56.541113      48.115494      1.175112   0.192509  0.626714
34       6    608.0   136.027232               13.160367      31.605764       5.686730      5.557810   0.428336  0.972800
35       6   5205.0  1164.509445               38.505837      47.797475      35.454161      1.348149   0.281590  0.801880
36       6    636.0   142.291644               13.459991      33.257048       5.705821      5.828618   0.392328  0.965099
37       6   1681.0   376.088449               21.882657      34.470143      14.271135      2.415375   0.641974  0.954030
38       6   3764.0   842.115956               32.744699      35.694982      32.218864      1.107891   0.591698  0.856233
39       6   6502.0  1454.685958               43.036771      57.645018      38.520704      1.496468   0.269197  0.727700
40       6   3127.0   699.600583               29.845588      42.857980      24.259092      1.766677   0.441120  0.822246
41       6   4662.0  1043.024598               36.442011      52.795677      28.220897      1.870801   0.510149  0.859196
42       6   4471.0  1000.292359               35.687698      49.828332      31.821540      1.565868   0.267400  0.802549
43       6   2868.0   641.654772               28.582866      38.394408      27.984417      1.371992   0.427386  0.783393
44       6   2247.0   502.719063               25.299838      34.375659      20.123647      1.708222   0.554194  0.821873
45       6   3211.0   718.393819               30.243800      34.321930      28.225956      1.215970   0.587792  0.897178
46       6   2594.0   580.353026               27.183238      42.530245      19.038168      2.233946   0.376604  0.832478
47       6   5294.0  1184.421326               38.833646      57.605131      30.853386      1.867060   0.355223  0.745739
48       6   2571.0   575.207259               27.062458      32.666133      24.560748      1.330014   0.537020  0.838005
49       6   2124.0   475.200396               24.597641      37.055464      18.012568      2.057200   0.451723  0.818813
50       6   1934.0   432.691886               23.471694      29.936701      19.412432      1.542141   0.757700  0.928023
51       6   2674.0   598.251346               27.599226      30.424674      25.824477      1.178133   0.755133  0.956366
52       6   3585.0   802.068465               31.956616      38.251572      27.476981      1.392132   0.660425  0.921120
53       6   1568.0   350.807072               21.134366      31.961231      17.135531      1.865202   0.547075  0.769004
54       6   4294.0   960.692326               34.974154      42.985084      33.795786      1.271907   0.309825  0.759462
55       6   5231.0  1170.326399               38.601889      65.494733      34.283469      1.910388   0.142322  0.630849
56       6   2868.0   641.654772               28.582866      57.687145      20.920711      2.757418   0.199402  0.587825
57       6   3767.0   842.787143               32.757746      45.843210      26.840908      1.707961   0.328360  0.782672
58       6   4185.0   936.305865               34.527404      54.624346      24.735265      2.208359   0.313155  0.755961
59       6   4671.0  1045.038159               36.477170      51.348953      29.160195      1.760926   0.300433  0.803406
60       6   5523.0  1235.655267               39.664659      66.727269      30.863758      2.161994   0.227578  0.684302
61       6   2121.0   474.529209               24.580264      34.090346      18.472863      1.845428   0.621808  0.897588
62       6   4024.0   900.285496               33.856744      38.308040      36.842518      1.039778   0.384278  0.782879
63       6   1202.0   268.922258               18.504120      26.518883      13.538730      1.958742   0.661109  0.916857
64       6   3212.0   718.617548               30.248509      37.632615      28.463680      1.322128   0.302564  0.753814
65       6   4052.0   906.549908               33.974331      47.998109      40.007481      1.199728   0.199179  0.608043
66       6   2966.0   663.580214               29.067105      31.632899      28.087461      1.126229   0.655287  0.909537
67       6   1434.0   320.827386               20.211138      26.402853      15.749755      1.676398   0.719413  0.932986
68       6   1854.0   414.793566               22.981113      29.901139      19.673987      1.519831   0.508702  0.850849
69       6   3786.0   847.037994               32.840254      47.635614      29.599841      1.609320   0.274845  0.716910
70       6   4055.0   907.221095               33.986906      44.729781      29.791514      1.501427   0.289323  0.770473
