Sample 8 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\8\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 91

Equivalent diameter statistics (µm):
count    91.000000
mean     44.232275
std      16.538360
min      13.343084
25%      31.157581
50%      42.399945
75%      54.419532
max      89.203679
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
   Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1       8   7210.0  1613.086090               45.319367     117.422767      22.466595      5.226549   0.160322  0.626575
2       8  20471.0  4579.956359               76.363483     115.633048      58.252803      1.985021   0.172623  0.739452
3       8   2559.0   572.522511               26.999228      80.362709       9.812776      8.189600   0.263782  0.799687
4       8  16291.0  3644.769139               68.122421     115.342967      48.983747      2.354719   0.170184  0.747877
5       8  10170.0  2275.323930               53.824088      75.456870      40.620035      1.857627   0.486759  0.873636
6       8   6908.0  1545.519932               44.360084      54.938820      39.413764      1.393899   0.587868  0.883828
7       8   9314.0  2083.811906               51.509142      75.617719      41.786004      1.809642   0.223029  0.715361
8       8  22152.0  4956.044808               79.436970     137.975891      77.388994      1.782888   0.078348  0.497429
9       8  11491.0  2570.869939               57.213052      69.154934      51.031193      1.355150   0.294114  0.808315
10      8  18964.0  4242.796756               73.498957     115.756129      75.192669      1.539460   0.085294  0.572982
11      8  14923.0  3338.707867               65.199501     119.628869      47.381359      2.524809   0.101913  0.601152
12      8  18918.0  4232.505222               73.409761     144.008916      61.326693      2.348226   0.053776  0.517352
13      8   6579.0  1471.913091               43.290853      65.860735      38.056947      1.730584   0.156692  0.661472
14      8  16360.0  3660.206440               68.266533     155.467884      47.704544      3.258974   0.076581  0.511746
15      8   5116.0  1144.597564               38.175213      59.273590      27.344531      2.167658   0.388918  0.842556
16      8  27934.0  6249.645886               89.203679     146.933847      98.008174      1.499200   0.032889  0.517057
17      8   8676.0  1941.072804               49.713687      75.594571      58.497375      1.292273   0.107285  0.540325
18      8   1999.0   447.234271               23.862866      40.125873      16.290986      2.463072   0.467827  0.877524
19      8   3789.0   847.709181               32.853262      44.916786      25.391268      1.768986   0.463964  0.892790
20      8   4326.0   967.851654               35.104231      40.728434      33.764667      1.206244   0.516790  0.860896
21      8  12245.0  2739.561605               59.060293      94.859561      81.235339      1.167713   0.063944  0.455340
22      8   6065.0  1356.916385               41.565365      54.578149      39.422405      1.384445   0.203718  0.729405
23      8   7221.0  1615.547109               45.353924      64.891690      36.704283      1.767960   0.197992  0.769747
24      8   4814.0  1077.031406               37.031324      48.637970      37.850311      1.285008   0.222049  0.678219
25      8   4123.0   922.434667               34.270691      46.310107      28.254898      1.639012   0.432114  0.812094
26      8   8087.0  1809.296423               47.996539      67.366655      42.130154      1.599013   0.128926  0.691019
27      8   3430.0   767.390470               31.258149      57.498925      20.942890      2.745511   0.306224  0.717874
28      8    625.0   139.830625               13.343084      35.763463       5.186069      6.896064   0.361912  0.968992
29      8   2953.0   660.671737               29.003334      33.552935      30.735428      1.091670   0.418414  0.775676
31      8  23544.0  5267.475576               81.894800     178.761679      72.193479      2.476147   0.040684  0.460726
32      8   3278.0   733.383662               30.557701      38.170623      25.406872      1.502374   0.664727  0.943038
33      8  16933.0  3788.403157               69.451744     126.075964      77.865654      1.619147   0.057810  0.444985
34      8   4427.0   990.448283               35.511659      44.045632      33.122207      1.329792   0.279298  0.748310
35      8   9917.0  2218.720493               53.150378     104.685421      38.893497      2.691592   0.107528  0.602601
36      8   7232.0  1618.008128               45.388456      68.790970      45.135059      1.524114   0.103000  0.594151
37      8   3024.0   676.556496               29.349932      47.570449      20.943610      2.271359   0.357019  0.799366
38      8  10496.0  2348.259584               54.679950      90.410659      63.312714      1.428002   0.134215  0.530530
39      8   4361.0   975.682169               35.245952      80.832015      24.084377      3.356201   0.179716  0.619900
40      8   9987.0  2234.381523               53.337631      65.006911      56.532826      1.149897   0.131058  0.661347
41      8  12151.0  2718.531079               58.833165      79.284871      67.355792      1.177105   0.054580  0.571677
42      8    953.0   213.213737               16.476412      34.580965       8.176797      4.229158   0.473669  0.947316
43      8  18633.0  4168.742457               72.854703     114.577854      78.197550      1.465236   0.050221  0.571302
44      8   2889.0   646.353081               28.687320      58.148151      31.655581      1.836900   0.174987  0.508985
45      8  11079.0  2478.693591               56.178027     109.671516      50.949754      2.152543   0.088404  0.511449
46      8  10824.0  2421.642696               55.527752     133.168731      44.443665      2.996349   0.063810  0.469466
47      8  19740.0  4416.410460               74.987655     132.534068      80.048351      1.655675   0.045381  0.509577
48      8   6402.0  1432.313058               42.704539      83.971387      38.042509      2.207304   0.125201  0.541716
49      8  11026.0  2466.835954               56.043493      92.344255      55.556206      1.662177   0.099326  0.562608
50      8   8186.0  1831.445594               48.289429      68.662548      42.643367      1.610158   0.148871  0.705143
51      8   4645.0  1039.221205               36.375507      56.410494      32.022508      1.761589   0.283176  0.708619
52      8   4436.0   992.461844               35.547738      71.832210      28.438374      2.525890   0.167820  0.556517
53      8   4486.0  1003.648294               35.747513      43.482138      35.046772      1.240689   0.244472  0.744194
54      8   4957.0  1109.024653               37.577308      45.103490      36.972887      1.219907   0.253537  0.722489
55      8   1187.0   265.566323               18.388299      28.746789      12.126684      2.370540   0.665249  0.966612
56      8   5784.0  1294.048536               40.591055      83.945820      35.045917      2.395310   0.108412  0.542997
57      8   5293.0  1184.197597               38.829978      68.098349      35.630645      1.911230   0.195104  0.649687
58      8   3596.0   804.529484               32.005605      54.162089      34.754110      1.558437   0.136971  0.518604
59      8   4726.0  1057.343254               36.691297      44.427267      34.237892      1.297605   0.348515  0.787011
60      8   5397.0  1207.465413               39.209600      49.618914      40.706550      1.218942   0.247866  0.685856
61      8   3386.0   757.546394               31.057013      59.609190      20.359208      2.927874   0.233101  0.687373
62      8   2439.0   545.675031               26.358585      63.055407      14.807661      4.258296   0.195219  0.689567
63      8   1023.0   228.874767               17.070806      32.438687       9.392772      3.453580   0.497839  0.910142
64      8   3134.0   701.166686               29.878975      39.848661      26.292396      1.515596   0.284173  0.767009
65      8   2694.0   602.725926               27.702247      35.508015      32.933851      1.078162   0.215166  0.652616
66      8   3285.0   734.949765               30.590311      60.646258      20.640470      2.938221   0.231958  0.686090
68      8   5482.0  1226.482378               39.517159      50.135553      37.392081      1.340807   0.246428  0.734360
69      8   1640.0   366.915560               21.614148      28.707363      17.535166      1.637131   0.590275  0.896175
70      8  17383.0  3889.081207               70.368544     114.788560      87.851291      1.306623   0.055000  0.496274
71      8   6502.0  1454.685958               43.036771      67.959466      39.191359      1.734042   0.185996  0.645232
72      8   2649.0   592.658121               27.469906      35.939450      25.585783      1.404665   0.299287  0.750425
73      8   9344.0  2090.523776               51.592030      95.156054      43.681329      2.178415   0.116554  0.551399
74      8   6648.0  1487.350392               43.517276      99.635669      29.506147      3.376777   0.133974  0.572117
75      8  12563.0  2810.707427               59.822269      99.793808      70.350373      1.418526   0.045375  0.456073
