Sample,GNP_wt_pct,Sintering_Temperature_C,Hardness_HRB_mean,Hardness_HRB_SD,Hardness_HRB_SE,Hardness_CV_pct
S1,0.0,500.0,18.5,0.48218253804964817,0.16072751268321606,2.606392097565666
S2,0.0,550.0,17.999999999999996,0.3774917217635377,0.12583057392117922,2.0971762320196543
S3,0.0,600.0,18.5,0.3122498999199201,0.10408329997330669,1.6878372968644328
S4,2.0,500.0,20.33,0.6500000000000005,0.2166666666666668,3.197245450073785
S5,2.0,550.0,21.200000000000003,0.49749371855331004,0.16583123951777,2.3466684837420284
S6,2.0,600.0,22.4,0.41533119314590367,0.13844373104863456,1.8541571122584986
S7,3.0,500.0,20.599999999999998,0.49749371855331,0.16583123951776998,2.4150180512296604
S8,3.0,550.0,21.76,0.6928203230275509,0.2309401076758503,3.1839169256780835
S9,3.0,600.0,22.37,0.6499999999999998,0.2166666666666666,2.9056772463120244
S10,4.0,500.0,20.75,0.692820323027551,0.23094010767585035,3.338893123024342
S11,4.0,550.0,23.400000000000002,0.49749371855331,0.16583123951776998,2.1260415322791024
S12,4.0,600.0,24.5,0.6499999999999995,0.21666666666666648,2.6530612244897935
