Sample,Sample_Number,GNP_wt_pct,Sintering_Temperature_C,Number_of_Fields,Total_Sampled_Area_um2,Total_Grain_Count,Pooled_Mean_ECD_um,Pooled_SD_ECD_um,Pooled_Median_ECD_um,Pooled_Q1_ECD_um,Pooled_Q3_ECD_um,Pooled_IQR_ECD_um,Field_Mean_ECD_um,Field_to_Field_SD_um,Field_to_Field_CV_pct,Hardness_HRB,UTS_MPa,Elongation_pct
S1,1,0,500,3,1288679.04,346,41.29575804212896,17.33502202082655,39.841995387174464,28.397860902967533,49.163192886199894,20.76533198323236,42.74038658238981,5.97475416980978,13.979176716832832,18.5,79,4.7
S2,2,0,550,3,1288679.04,143,49.41662029342987,33.51219251962177,41.46930796623172,32.20074872925377,57.718581054186856,25.51783232493309,68.5984368676164,31.071381582014236,45.29459124845199,18.0,76,4.5
S3,3,0,600,3,1288679.04,260,40.63826556715363,27.9793307999072,34.471669478536015,25.866308144923025,46.69224036777506,20.825932222852032,69.82469772922,54.992301997439434,78.75766567683463,18.5,128,21.5
S4,4,2,500,3,1288679.04,292,44.98638804904578,17.79072840237882,43.00363487677021,31.68806699675674,55.99326236676301,24.305195370006274,46.36437146157152,6.5140333002939155,14.04965298773215,20.33,80,2.5
S5,5,2,550,3,1288679.04,399,36.97001884961001,14.572367586396506,34.024601679709235,26.36398792799281,43.9179783748705,17.55399044687769,37.82330391222746,4.106606836334798,10.857345635020586,21.2,95,5.5
S6,6,2,600,3,1288679.04,696,26.78631897674018,17.0289437289848,23.252213614567818,18.49063009615438,29.19178084905557,10.701150752901189,48.02128507718037,40.8172615215963,84.99826994632551,22.4,105,7.6
S7,7,3,500,3,1288679.04,404,38.479799703706355,16.000546211615198,35.37502784935855,27.793144530048927,46.217173289277184,18.424028759228257,40.06463295315805,7.242881566858837,18.07799306517277,20.6,88,3.5
S8,8,3,550,3,1288679.04,401,34.68006766735367,16.693556776905094,30.701852693841005,22.875509628446437,41.127877440950776,18.25236781250434,41.656497728579645,12.617146488510581,30.28854362822303,21.76,78,3.0
S9,9,3,600,3,1288679.04,106,65.29196555331455,42.15903337601108,54.712605635443495,35.250820012125985,79.17551332432085,43.92469331219486,80.12573982379463,26.43610376885889,32.993272607522634,22.37,90,8.5
S10,10,4,500,3,1288679.04,609,29.93041425814568,15.669711617548016,26.21228321934158,20.090980178115835,34.19580097727115,14.104820799155313,37.42537145293934,16.858592770784668,45.04589297659627,20.75,120,12.5
S11,11,4,550,3,1288679.04,337,40.0243048131395,16.780168534927014,38.59450906844255,27.282609373040017,48.805782666504726,21.52317329346471,41.23562036388529,5.624099763703731,13.63893574068645,23.4,129,30.0
S12,12,4,600,3,1288679.04,190,52.27380548485444,24.639213927673623,47.80467586180758,35.44620905142472,62.529163683335184,27.082954631910468,59.03996820282322,17.369170848241286,29.419343161859484,24.5,98,6.0
