Sample,Sample_Number,GNP_wt_pct,Sintering_Temperature_C,Field,Image_File,Image_Width_px,Image_Height_px,Field_Area_um2,Grain_Count,Mean_ECD_um,SD_ECD_um,Median_ECD_um,Q1_ECD_um,Q3_ECD_um,Min_ECD_um,Max_ECD_um
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,98,43.7988489794104,19.12693615856106,41.47102490852393,28.998377900650066,56.386128408158186,12.368110107283027,101.27813608388904
S1,1,0,500,2,100x2.tiff,1600,1200,429559.68,164,36.30713722628299,12.728812386527114,35.79216086216265,26.853697317037813,45.25558809510852,11.982059401139805,71.65024714050361
S1,1,0,500,3,100x3.tiff,1600,1200,429559.68,84,48.11517354147603,19.99266137664787,44.746040758106744,35.50123701572535,59.382603577155,12.764805873162288,108.0166919010757
S2,2,0,550,1,100x1.tiff,1600,1200,429559.68,10,102.47431050276309,84.66917416383889,70.55586347710255,65.39358392095457,79.53186384235025,38.85564609617863,293.295911836207
S2,2,0,550,2,100x2.tiff,1600,1200,429559.68,26,61.895227330572496,30.267242809172686,58.105205138670215,40.8632965713606,76.26595017851677,14.79097524032519,147.92997305753647
S2,2,0,550,3,100x3.tiff,1600,1200,429559.68,107,41.425772769513614,17.649875267122372,38.1490872370704,30.59961991184235,49.64749704559557,12.886959908786206,99.66917304843382
S3,3,0,600,1,100x1.tiff,1600,1200,429559.68,174,33.14222407530196,12.278954024888494,30.46866797603851,24.92541285562453,39.87855108276271,12.15905656882982,79.28262245004284
S3,3,0,600,2,100x2.tiff,1600,1200,429559.68,74,43.27773595175978,17.900424381080708,42.99033979748425,29.22136401388571,53.54676819661515,12.15905656882982,90.41216769631126
S3,3,0,600,3,100x3.tiff,1600,1200,429559.68,12,133.0541331605983,60.67842270921141,135.4487417395987,83.07999903517928,178.9150111476257,29.022970628067785,235.37683658025318
S4,4,2,500,1,100x1.tiff,1600,1200,429559.68,133,38.8426310383226,14.259471404136272,37.30722371027365,29.272183300754865,46.39710799776566,12.539659356515127,88.2372381444704
S4,4,2,500,2,100x2.tiff,1600,1200,429559.68,78,50.11125627776191,17.914111553270008,51.040861870098986,37.63772779003627,60.550332129264426,15.751621865720061,105.8146074072475
S4,4,2,500,3,100x3.tiff,1600,1200,429559.68,81,50.13922706863004,19.790953281359357,47.140191126274814,34.14578271406133,63.76374744331728,12.459896970148227,98.02508913553673
S5,5,2,550,1,100x1.tiff,1600,1200,429559.68,87,42.531777419712505,16.580756987069645,39.274930982924054,30.460933957261805,53.4945674157363,14.171334803869305,92.48056529760234
S5,5,2,550,2,100x2.tiff,1600,1200,429559.68,140,35.95581928248164,14.727749832800342,33.495024067013986,25.654821400640493,42.950573300170085,14.009602434105425,94.55191900488114
S5,5,2,550,3,100x3.tiff,1600,1200,429559.68,172,34.98231503448823,12.61411703800695,32.55274432801723,25.757033419933105,42.057870119875794,12.573688345419953,70.43732849975427
S6,6,2,600,1,100x1.tiff,1600,1200,429559.68,329,24.727328664989027,8.667417812531072,22.919052446204535,18.672690935356936,28.702210444858107,11.99394047436233,59.02410746104146
S6,6,2,600,2,100x2.tiff,1600,1200,429559.68,23,95.15195720206898,43.90831310620097,89.82105654782175,64.38795224484532,110.7291078575925,13.396349665694515,185.50629639885582
S6,6,2,600,3,100x3.tiff,1600,1200,429559.68,344,24.184569364483107,8.235242146717876,22.92525852091445,18.273622493025044,28.199068366402255,12.053170170252601,59.90791956578835
S7,7,3,500,1,100x1.tiff,1600,1200,429559.68,170,35.63335994342198,13.880802742215343,33.926085696983876,26.312604660794154,42.950613465202316,12.252409621165791,90.0190522924453
S7,7,3,500,2,100x2.tiff,1600,1200,429559.68,84,48.42292344685144,20.854326650642715,44.943961112891586,33.12950912084678,59.667787439539026,13.554891866669918,100.78895880462622
S7,7,3,500,3,100x3.tiff,1600,1200,429559.68,150,36.137615469200746,12.694333504001637,33.67723088313858,27.11897171500273,42.606837249382274,12.07678071231217,77.2738513923123
S8,8,3,550,1,100x1.tiff,1600,1200,429559.68,91,44.23227486577489,16.538360305182522,42.39994469768421,31.15758086309352,54.41953248156536,13.343083650904436,89.20367863853272
S8,8,3,550,2,100x2.tiff,1600,1200,429559.68,49,52.786999338147695,24.809614286682987,48.90199200261198,35.96202399577089,62.800439066065586,16.810167316931167,124.934591967323
S8,8,3,550,3,100x3.tiff,1600,1200,429559.68,261,27.950218981816356,9.012638800007716,26.728831065741826,21.587773348129982,33.48024045253333,12.875902884091623,64.67749268005078
S9,9,3,600,1,100x1.tiff,1600,1200,429559.68,72,51.53701122977847,26.372063279483577,46.799536225531256,32.560987577418196,64.7973428145461,12.70889318268897,124.93801203745721
S9,9,3,600,2,100x2.tiff,1600,1200,429559.68,17,103.68730599143967,66.65896040189796,90.49247459684821,57.693987806927176,128.39458075530936,16.320069560124114,276.3780072259398
S9,9,3,600,3,100x3.tiff,1600,1200,429559.68,17,85.15290225016578,36.02226555226262,74.43288255813911,66.80928752591521,112.45108867027044,28.712133421972144,149.6901319085023
S10,10,4,500,1,100x1.tiff,1600,1200,429559.68,60,56.53636834820053,27.501053767446308,55.0924753695235,34.6326300023356,74.13970511553768,11.946345284735857,111.92294371274257
S10,10,4,500,2,100x2.tiff,1600,1200,429559.68,202,31.077597816314306,11.750057517504771,29.00824396855714,23.084690211017445,35.82909757068597,12.064981216859445,74.88692029399056
S10,10,4,500,3,100x3.tiff,1600,1200,429559.68,347,24.662148194303168,8.422707254347305,23.012081048515252,18.519501558355337,29.281903027720283,12.041347538500958,57.923123757317676
S11,11,4,550,1,100x1.tiff,1600,1200,429559.68,71,47.62455538003821,20.02123283638892,42.814460477969156,33.61413428981385,61.514714485893165,15.615398882163387,119.35490878339942
S11,11,4,550,2,100x2.tiff,1600,1200,429559.68,127,39.04943365579644,15.425835646744614,38.590818462737865,26.595983734086403,48.89026735170383,12.217485817242592,86.35604154842906
